Type,abs_position,combat_decision,combat_status,index,life,move_decision,move_option,obj_time,reproduction_decision,reproduction_status,vis_map,visual_range,world_time
10,"[18, 195]",leave,leave,0,1000,down,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[128, 59]",leave,leave,1,1000,down,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[98, 122]",leave,leave,2,1000,down,"['up', 'down', 'left', 'right']",0,1,1,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[67, 130]",leave,leave,3,1000,left,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], 0], [0, [10], 0]]",3,0.036928653717041016
10,"[170, 152]",leave,leave,4,1000,right,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[113, 68]",combat,combat,5,1000,left,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], [-10]], [0, 0, 0]]",3,0.036928653717041016
10,"[55, 110]",leave,leave,6,1000,down,"['up', 'down', 'left', 'right']",0,1,1,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[151, 74]",combat,combat,7,1000,down,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[118, 157]",leave,leave,8,1000,down,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[180, 156]",combat,combat,9,1000,up,"['up', 'down', 'left', 'right']",0,0,0,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
10,"[15, 164]",combat,combat,10,1000,down,"['up', 'down', 'left', 'right']",0,1,1,"[[0, 0, 0], [0, [10], 0], [0, 0, 0]]",3,0.036928653717041016
